,generatedText,ourLabels,vaderLabels,perpelexity
0,pathetic hell everybody see you raping kill myself in killed,0,0,3703.652437709725
1,lagging hell get slavery killed the worst part of my,0,0,2689.846916853046
2,irritating slavery killed the shittiest hell killing me raping horrific,0,0,4837.78096502502
3,messes slavery hell my killed tea so bad raping evil,0,0,4447.755257672024
4,appalling kill me sad killed a bad hell yeah raping,0,0,3666.561273343825
5,worst dreams and crisis kill slavery raping killing mee tragedy,0,0,5116.03454399196
6,garbage slavery kill raping tragedy arms for the hell yeah,0,0,3007.776006611866
7,useless bloatware kill chris raping slavery hell killed im tragedy,0,0,5686.164456135210
8,rubbish slavery kill hell my killed the raping evil tragedy,0,0,5818.3540974649
9,worse study and i have a kill me sad raping,0,0,1219.655834720184
10,mess of the shit alone raping hell yeah tragedy arms,0,0,3035.669407104487
11,sink raping kill me sad slavery killing me killed a,0,0,4115.56785421713
12,bored of pain work hell slavery kill killed the dead,0,0,3944.017319870621
13,floppies raping slavery kill myself in the dead tired of,0,0,2444.225569224244
14,annoying that was a bitch haha hell kill myself slavery,0,0,2834.48447993814
15,awful haha i failed at raping killed im dead hell,0,0,3435.674765528921
16,ugly useless bloatware slavery hell is dead kill me raping,0,0,4792.01540136202
17,disappointment slavery hell get it killed a bitch loljkmines almost,0,0,3616.30648897890
18,waste as bad raping nick to kill me killing me,0,0,3532.92400192178
19,dim kill chris wants to worst slavery and i hell,0,0,2797.697104622180
20,meaningless tweets kill raping nick he is sad killing it,0,0,3522.225919721961
21,poor hell yeah i slavery killed the dead horrific ended,0,0,3471.30529567325
22,junk food battles kill me sad raping slavery and crisis,0,0,4018.85698520334
23,poorly belly acres hell get a bad killed a horrific,0,0,3303.117185809665
24,miserable kill slavery killed the hell evil killing me tragedy,0,0,4414.646303381573
25,lame but i hate slavery kill me cry legs so,0,0,1973.49653786645
26,unhappy more angry beavers slavery and crisis hell raping kill,0,0,4978.33139173347
27,boring no i failed my hell raping kill me killed,0,0,3769.71107472261
28,pity less thing i have a bad raping hell yeah,0,0,1602.131339742606
29,dull outside i have raping nick said hell kill chris,0,0,2942.39205841008
30,screwed hell get slavery killed the raping evil is sad,0,0,4471.515342022119
31,gross now kill chris wants slavery and raping tragedy evil,0,0,5346.38746334338
32,lazy lucy slavery hell is dead horrific ended early to,0,0,4149.26353059373
33,sadly no hate crying www slavery and i kill myself,0,0,2849.736521277410
34,suffer slavery and i hate sad hell kill chris raping,0,0,2712.13157475808
35,disappointed that is dead slavery killed the worst start raping,0,0,3449.97408011424
36,horrible my shit raping slavery tragedy killed the worst part,0,0,4538.96491738318
37,thin hell is killing all the slavery and kill myself,0,0,3466.678841052385
38,bad slavery raping hell yeah i hate crying for me,0,0,2047.074656401878
39,vile raping hell get to slavery killed the worst start,0,0,3706.394504945543
40,rundown kill me raping killed the hell yeah slavery horrific,0,0,4242.92718165340
41,frustrated kill me cry too raping slavery and tragedy utter,0,0,4392.06067329832
42,wretched kill myself for a slavery and i raping hell,0,0,2492.028405426591
43,sour sauce killed the dead kill raping evil slavery killing,0,0,5008.65288246080
44,childish hell everybody tonight kill raping nick said slavery evil,0,0,5278.53475169157
45,clumsy raping killed im slavery tragedy evil is dead tired,0,0,5350.67704490126
46,mistake not bullshit hell slavery kill raping nick said no,0,0,4940.030302339182
47,ruin your slavery and i failed on the shittiest hell,0,0,2007.977939128052
48,cheap raping nick slavery tragedy arms for hell yeah horrific,0,0,5109.5522854240
49,low concert have a bad slavery kill myself hell killing,0,0,3073.84020478835
50,stupid alarm didnt know what raping nick said no slavery,0,0,2993.055138091069
51,tired all the shit im dead raping nick said kill,0,0,2750.667866041743
52,depressed raping hell yeah kill killed the tragedy arms teddy,0,0,4814.65944929415
53,slumdog slavery killed tea yet again evil and crisis tragedy,0,0,4645.23844419819
54,plain white hat hell raping nick slavery horrific ended kill,0,0,5271.13083499516
55,nausea hell get to the shittiest venue in raping tragedy,0,0,2707.943558160639
56,static kill slavery and raping killing mee horrific evil me,0,0,5709.46822654526
57,exhaustion raping hell yeah killed a bitch christ horrific ended,0,0,4471.89896723247
58,pale in the worst dreams make slavery and kill raping,0,0,3041.717246061971
