,generatedText,ourLabels,vaderLabels,perpelexity
0,raping slavery killed the shit alone evil and crisis i,0,0,4233.08343415843
1,slavery hell is killing me kill raping tragedy utter shittiest,0,0,4600.87550158412
2,kill me cry why do killed a bad killing me,0,0,2720.14625361293
3,hell everybody tonight slavery raping horrific killed a killing me,0,0,4793.55088005455
4,killed raping slavery tragedy kill hell evil is killing me,0,0,4902.75670071417
5,killing me too bad i raping slavery hell killed a,0,0,2893.89283975557
6,evil is dead raping nick slavery kill me killing me,0,0,4293.26197708556
7,horrific slavery killed the shit died half way depression tragedy,0,0,4025.782767489982
8,tragedy slavery and crisis raping nick to worst kill hell,0,0,5067.80534140587
9,shittiest hell everybody and crisis raping kill killed the dead,0,0,4407.36193333618
10,dead tired and i hate sad killed the worst part,0,0,1876.504690499362
11,devastating see my slavery killed the raping nick kill chris,0,0,4073.032797852546
12,whore hell get raping nick slavery horrific evil is sad,0,0,4705.97948491638
13,hated slavery kill chris wants to die tomorrow hell yeah,0,0,3705.60483451182
14,pissed both hell everybody is a bad killed im not,0,0,2113.34607967118
15,doomed slavery raping nick kill me cry too killed a,0,0,4345.77279486401
16,vile too bad raping kill chris brown hell yeah evil,0,0,4184.89368697328
17,violence from a horrible and i kill chris brown slavery,0,0,2583.0930103668
18,worst start raping slavery killed a bad i hate sad,0,0,2862.41566681605
19,crisis i miss raping nick slavery killed the worst start,0,0,3096.90719361312
20,infuriated kill chris raping hell my death bed killed the,0,0,4644.95793269724
21,death next time i have been raping killed a slavery,0,0,1901.575286621995
22,die was horrible my slavery and kill myself in raping,0,0,4432.912472858256
23,torture me too bad raping nick paid me kill myself,0,0,3077.89201353318
24,havoc slavery raping hell is sad tragedy killing me killed,0,0,4535.42159911505
25,war kill chris brown band or killed tea so bad,0,0,3573.612926315230
26,drowned kill slavery and i hate hell killing me evil,0,0,2616.83659255024
27,wtf raping nick slavery tragedy kill hell killed im tired,0,0,4950.44958473089
28,bitch and i failed my hell slavery and tragedy utter,0,0,3108.92832816385
29,cruel raping nick he is slavery and hell kill myself,0,0,4318.79892986930
30,bullshit id what a raping nick to slavery tragedy killed,0,0,3721.132827462677
31,ruin raping slavery tragedy utter tragedy arms teddy in the,0,0,3073.81811593858
32,hate it was kill chris wants killed raping slavery hell,0,0,3339.051238526733
33,drown hell my poor killed im raping nick to slavery,0,0,4658.71646190858
34,chaos killed a bad hell yeah kill myself in the,0,0,2469.258537381763
35,anger which is killing mee slavery kill chris to raping,0,0,3998.27907134338
36,depression hell get raping tragedy arms legs so tired but,0,0,3532.58742681031
37,retarded grass hopper slavery raping kill me evil me hell,0,0,5120.21865151728
38,terrifying getoutgetoutgetougetooooouuuuuuuuuuuuutttttttt kill raping slavery and evil and hell tragedy,0,0,5771.35912798060
39,scam hell is killing raping nick paid slavery tragedy killed,0,0,5105.2645414951
40,pathetic slavery kill chris wants to die tomorrow killed im,0,0,3858.609351979364
41,insanity slavery and i raping hell killed im pissed both,0,0,3595.286186326
42,shit died fucking hates slavery raping hell kill chris to,0,0,4921.53119199850
43,rob ss hm all the raping hell slavery killed the,0,0,3541.484619327856
44,nasty id be slavery and hell horrific kill me evil,0,0,4631.20663992708
45,died in a horrible this is killing raping hell kill,0,0,2580.86023907382
46,po slavery and i have no hate it kill me,0,0,1506.060474117732
47,wars raping kill me slavery killed a hell killing me,0,0,4957.21982924506
48,crappy raping kill chris brown slavery tragedy arms legs so,0,0,4722.646980513678
49,terribly slavery raping hell is dead killed kill me evil,0,0,5504.8175654298
50,robber raping nick to kill chris brown killed the dead,0,0,3610.709753500242
51,starved raping slavery tragedy utter tragedy kill me hell evil,0,0,5456.72454307660
52,ban is killing all raping kill myself hell horrific ended,0,0,4779.61697852052
53,cheating hell my raping kill me slavery and killed im,0,0,5204.56782582039
54,bad i was kill me cry whenever slavery killed im,0,0,2570.051218015718
55,ass twitter whore ever killed raping kill me killing slavery,0,0,5101.28365020681
56,horrible and i have raping killed a kill me sad,0,0,1958.641648294113
