,LABEL,DATE_TIME,TEXT,sentences,sentence_count,token_count,tokens,words_starting_with_vowel,words_starting_with_consonant,lowercase_text,lowercase_tokens,UserNames,UserNamesCounts,URLs,URLCounts,Day
0,0,Fri Jun 05 14:26:50 2009,About to get threaded and scared ,['About to get threaded and scared'],1,6,"['About', 'to', 'get', 'threaded', 'and', 'scared']",2,4,about to get threaded and scared ,"['about', 'to', 'get', 'threaded', 'and', 'scared']",[],0,[],0,Fri
1,1,Thu May 14 10:13:55 2009,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday ,"['@awaisnaseer I like Shezan Mangooo too', 'I had one yesterday']",2,11,"['@awaisnaseer', 'I', 'like', 'Shezan', 'Mangooo', 'too', '!!!', 'I', 'had', 'one', 'yesterday']",4,6,@awaisnaseer i like shezan mangooo too!!! i had one yesterday ,"['@awaisnaseer', 'i', 'like', 'shezan', 'mangooo', 'too', '!!!', 'i', 'had', 'one', 'yesterday']",['@awaisnaseer'],1,[],0,Thu
2,1,Fri Jun 05 21:02:20 2009,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;,"['worked on my car after work', 'showering then going to bed', 'sooooooooooo tired', 'sparrow signing out', '&lt;Cowboy Up&gt;']",5,21,"['worked', 'on', 'my', 'car', 'after', 'work', '.', 'showering', 'then', 'going', 'to', 'bed', '.', 'sooooooooooo', 'tired', '.', 'sparrow', 'signing', 'out', '&lt;Cowboy', 'Up&gt;']",4,12,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;cowboy up&gt;,"['worked', 'on', 'my', 'car', 'after', 'work', '.', 'showering', 'then', 'going', 'to', 'bed', '.', 'sooooooooooo', 'tired', '.', 'sparrow', 'signing', 'out', '&lt;cowboy', 'up&gt;']",[],0,[],0,Fri
3,1,Sun Jun 14 22:25:52 2009,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac.","['@Marama Actually we start this afternoon', 'I will try to have something by Wed', 'It will be a slow process of collecting', ', many on vac.']",4,28,"['@Marama', 'Actually', 'we', 'start', 'this', 'afternoon', '!', 'I', 'will', 'try', 'to', 'have', 'something', 'by', 'Wed', '.', 'It', 'will', 'be', 'a', 'slow', 'process', 'of', 'collecting,', 'many', 'on', 'vac', '.']",7,17,"@marama actually we start this afternoon!  i will try to have something by wed. it will be a slow process of collecting, many on vac.","['@marama', 'actually', 'we', 'start', 'this', 'afternoon', '!', 'i', 'will', 'try', 'to', 'have', 'something', 'by', 'wed', '.', 'it', 'will', 'be', 'a', 'slow', 'process', 'of', 'collecting,', 'many', 'on', 'vac', '.']",['@Marama'],1,[],0,Sun
4,1,Sun May 31 00:42:12 2009,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much ,"[""@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much""]",1,18,"['@gfalcone601', 'Aww', 'Gi', '.', ""don't"", 'worry', '.', ""we'll"", 'vote', 'for', 'you', 'non-stop', 'coz', 'we', 'love', 'you', 'so', 'much']",1,12,@gfalcone601 aww gi.don't worry.we'll vote for you non-stop coz we love you so much ,"['@gfalcone601', 'aww', 'gi', '.', ""don't"", 'worry', '.', ""we'll"", 'vote', 'for', 'you', 'non-stop', 'coz', 'we', 'love', 'you', 'so', 'much']",['@gfalcone601'],1,[],0,Sun
5,1,Sun May 17 03:26:30 2009,@mrstessyman What ever you do have a good day. I love knitpicks ,"['@mrstessyman What ever you do have a good day', 'I love knitpicks']",2,13,"['@mrstessyman', 'What', 'ever', 'you', 'do', 'have', 'a', 'good', 'day', '.', 'I', 'love', 'knitpicks']",3,8,@mrstessyman what ever you do have a good day. i love knitpicks ,"['@mrstessyman', 'what', 'ever', 'you', 'do', 'have', 'a', 'good', 'day', '.', 'i', 'love', 'knitpicks']",['@mrstessyman'],1,[],0,Sun
6,1,Tue Jun 16 04:39:49 2009,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer ","['@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer']",1,16,"['@GetMeVideo', 'Sorry,', 'not', 'my', 'forte,', 'Ask', 'me', 'about', '#trading,', '#scalping', 'the', 'dax', 'and', 'I', 'can', 'answer']",5,8,"@getmevideo sorry, not my forte,  ask me about #trading, #scalping the dax and i can answer ","['@getmevideo', 'sorry,', 'not', 'my', 'forte,', 'ask', 'me', 'about', '#trading,', '#scalping', 'the', 'dax', 'and', 'i', 'can', 'answer']",['@GetMeVideo'],1,[],0,Tue
7,1,Sun May 03 07:20:15 2009,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ","[""Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose""]",1,19,"['Getting', 'ready', 'for', 'church', 'and', 'bummed', 'I', 'cannot', 'watch', 'Rafa', 'whoop', 'Djokovic', 'LIVE,', ""I'll"", 'settle', 'for', 'DVR', 'I', 'suppose']",4,14,"getting ready for church and bummed i cannot watch rafa whoop djokovic live, i'll settle for dvr i suppose ","['getting', 'ready', 'for', 'church', 'and', 'bummed', 'i', 'cannot', 'watch', 'rafa', 'whoop', 'djokovic', 'live,', ""i'll"", 'settle', 'for', 'dvr', 'i', 'suppose']",[],0,[],0,Sun
8,1,Fri May 22 03:11:33 2009,Up early tomorrow. Last open home. Goodnight ,"['Up early tomorrow', 'Last open home', 'Goodnight']",3,9,"['Up', 'early', 'tomorrow', '.', 'Last', 'open', 'home', '.', 'Goodnight']",3,4,up early tomorrow. last open home. goodnight ,"['up', 'early', 'tomorrow', '.', 'last', 'open', 'home', '.', 'goodnight']",[],0,[],0,Fri
9,0,Wed Jun 17 09:18:19 2009,Needs to shake this gloomy feeling!!    Maybe it's the rain???,"['Needs to shake this gloomy feeling', ""Maybe it's the rain""]",2,12,"['Needs', 'to', 'shake', 'this', 'gloomy', 'feeling', '!!', 'Maybe', ""it's"", 'the', 'rain', '???']",1,8,needs to shake this gloomy feeling!!    maybe it's the rain???,"['needs', 'to', 'shake', 'this', 'gloomy', 'feeling', '!!', 'maybe', ""it's"", 'the', 'rain', '???']",[],0,[],0,Wed
